ar9152.tsp, 32481.648846, 1068913.250000, 2425.721375, 1034962.437500
bm33708.tsp, 9623.119347, 1205227.875000, 30417.874057, 1203404.875000
ca4663.tsp, 193332.885870, 1645761.625000, 574.507800, 1668710.500000
ch71009.tsp, 281872.620432, 5661999.000000, 329776.774481, 5671388.000000
dj38.tsp, 578.006930, 9748.954102, 7.094271, 9748.954102
eg7146.tsp, 4813.994669, 214076.375000, 1599.714623, 222335.421875
ei8246.tsp, 2068.394135, 260287.328125, 3371.262692, 259164.953125
fi10639.tsp, 15379.424068, 658837.375000, 5195.178998, 657773.000000
gr9882.tsp, 5070.651540, 387825.531250, 3054.232911, 391412.750000
ho14473.tsp, 2320.655794, 220654.656250, 12420.663612, 225037.687500
it16862.tsp, 12626.744917, 703385.375000, 20149.830200, 696501.000000
ja9847.tsp, 22916.846461, 636847.750000, 3344.118275, 625029.250000
kz9976.tsp, 69575.130957, 1392267.875000, 4057.609966, 1346901.625000
lu980.tsp, 230.038488, 14212.735352, 108.056784, 14212.735352
mu1979.tsp, 3470.959872, 122134.156250, 169.510015, 120542.117188
pm8079.tsp, 1750.456207, 145041.234375, 3127.194956, 146662.343750
qa194.tsp, 301.056540, 11892.895508, 21.354830, 11892.895508
rw1621.tsp, 503.332648, 32148.296875, 165.764192, 32276.675781
sw24978.tsp, 11559.401389, 1072539.375000, 41093.865941, 1075452.125000
tz6117.tsp, 9448.438444, 496157.281250, 826.751176, 501421.812500
uy734.tsp, 1981.304313, 103290.078125, 106.483585, 102594.328125
vm22775.tsp, 11477.811866, 729279.812500, 27069.030677, 725096.750000
wi29.tsp, 1808.565563, 36388.062500, 1.342151, 36388.062500
ym7663.tsp, 5315.900703, 302430.968750, 1705.673451, 298954.218750
zi929.tsp, 2776.314383, 119729.859375, 109.726555, 117733.757813
