Tour,RunningTime,#EdgeSwaps,Tour length
data/ar9152.tsp,3220,1951,918710.5547033548
data/bm33708.tsp,64680,9503,1035950.3380721807
data/ch71009.tsp,380927,19876,4925464.867178321
data/dj38.tsp,17,30,6810.968508243561
data/eg7146.tsp,2024,2258,186711.57373517752
data/ei8246.tsp,2651,2757,225636.36166143417
data/fi10639.tsp,4368,3050,567339.7881407738
data/gr9882.tsp,3390,3096,330016.4232490063
data/ho14473.tsp,6282,2059,190597.7562544346
data/ja9847.tsp,3212,2942,542888.7981363535
data/kz9976.tsp,4273,3082,1164903.6343916655
data/lu980.tsp,101,251,12298.015069127083
data/mo14185.tsp,6972,4248,463477.2025606632
data/mu1979.tsp,188,591,95227.53902709484
data/nu3496.tsp,469,693,103487.87371397018
data/pm8079.tsp,2349,1552,127635.52121114731
data/qa194.tsp,28,91,9856.283717870712
data/rw1621.tsp,153,300,28600.19255000353
data/sw24978.tsp,21266,7434,929811.8527812362
data/tz6117.tsp,1326,1757,428430.99625098705
data/uy734.tsp,59,205,85677.75593280792
data/vm22775.tsp,16647,6545,620018.5181625783
data/wi29.tsp,14,14,29496.800369262695
data/ym7663.tsp,2094,2244,261342.1073000431
data/zi929.tsp,70,270,103628.7762901783
